	chA	chB
1123514	97301372418	82850234596
976208	84497653898	72161501306
845117	73289754229	62307760158
403581	35029574840	30063725619
1015390	87810618653	75120195130
175534	15342402867	13067014998
1124142	97356487553	82904214924
1117813	96774188588	82454800198
1214250	105130227769	89328378354
936197	81097361335	69094946350
1190895	103150973634	87638995948
240331	20855180446	17699319825
710658	61483076623	52757457710
1650209	0	121372120445
88821	7874222487	6689565092
1532135	0	112661135601
141046	12362635962	10660029577
340999	29624140087	25300343384
731099	63238806594	54205920465
648477	56181397591	48012991411
981797	84960151060	72580339010
877264	76071084426	64642279499
318088	27644806465	23477565903
1113793	96405109133	82168379300
259074	22495790010	19063876089
934700	80979191319	68984964260
507522	43928500155	37418530216
291816	25348439019	21478710269
1127567	97673604097	83131692086
570646	49467743924	41989225236
233142	20245843190	17186141369
362118	31476200858	26918856425
770625	66672177322	57025478827
474674	41072451425	35059940436
530489	45948254935	39070241019
866039	75105226796	63803318638
772057	66791947277	57130261337
1344574	116251196314	99246938976
209182	18218440937	15478948609
262515	22795889717	19309755781
392134	34021955247	29211195080
1729064	0	127308835160
758416	65597392679	56170412605
102272	9064613163	7710994549
1610592	0	118396515507
1098873	95072379383	81119347743
628623	54471489074	46448609495
1427650	123614806113	105192955975
1258705	108938975862	92671943825
965945	83636739921	71374778524
1467887	127210061896	108096895921
1069959	92503502197	79061159814
1255871	108699402870	92453762321
499569	43215585761	36851044014
1486544	0	109421915606
357922	31107712806	26603262270
401760	34866528230	29940312983
507119	43895754300	37385227096
996957	86250722583	73709416296
1118901	96870015090	82533031859
1450613	125669562763	106859755269
1562194	0	114826017718
1456387	126184305698	107267020959
806924	69871910040	59599715265
309083	26853534852	22781396532
884246	76676612881	65152034420
99197	8790403672	7476289279
389554	33800030211	29020121843
834309	72319263202	61522593810
506931	43882114042	37373080608
1444987	125170316269	106448728260
1357446	117384831985	100198635318
1231361	106615231871	90601470544
570846	49482389962	42001599276
493822	42710702160	36443613952
358603	31169855856	26663098546
667286	57817639697	49482528969
1413207	122313945490	104157181483
284054	24681887221	20901032898
829638	71893529003	61198507856
994837	86076908620	73552964462
275398	23918841411	20251016973
1397791	120935943064	103075460819
315380	27405157123	23255220247
852674	73945827920	62843039265
1010307	87363156958	74735324063
74550	6589884967	5613973927
267674	23236380105	19688983181
505785	43778709355	37292565456
1325128	114579920281	97792794520
20762	1802188511	1494703304
882110	76492128684	64998163179
907926	78697750232	66935275565
655785	56814156791	48584009051
322963	28066035663	23866871883
222520	19351427449	16411486871
144996	12709254818	10939396687
1659993	0	122116388846
727110	62905213447	53929161365
720959	62362586971	53494984537
1404770	121559725343	103572853211
622727	53961077875	45981063255
947753	82086483466	69977158343
942142	81605692015	69550929257
1616381	0	118822406885
1692141	0	124537039708
676587	58602155249	50217987160
1388935	120135625468	102447895389
1562285	0	114831846989
1638557	0	120474627154
586301	50803067317	43152128017
1688618	0	124269167197
5925	526852858	428021427
467521	40461226247	34541325412
1152834	99884190615	84931405980
1092043	94463091573	80648442813
820491	71087571635	60552610959
39749	3473573807	2923047054
884707	76712387072	65187248381
987509	85444356480	73009477372
990465	85707036889	73225952365
1692025	0	124530277005
781746	67653905131	57813782513
23439	2048138523	1690866653
321824	27963274668	23773039719
407555	35367028612	30351673436
1184749	102635427015	87205934417
913817	79186360673	67374767613
987875	85484183255	73032850716
1684953	0	123997681025
768298	66472683179	56859337954
1137763	98569077703	83861982696
900355	78040699412	66361918276
1660384	0	122140326327
1236691	107084792873	91005822243
915613	79339780292	67522043726
184605	16125313082	13712043504
459732	39798452182	33996709860
873726	75753921418	64377677485
100934	8939074949	7609297609
99578	8819055014	7510610077
223891	19459523352	16511178773
709198	61363701478	52650280079
458555	39696760980	33905141571
1543920	0	113489710332
1590116	0	116861839049
187130	16342837845	13894800488
146025	12800577154	11016585969
1046216	90422111784	77349973765
506885	43878727324	37370251195
363292	31577922559	27009034387
339584	29500400148	25179839028
1159087	100431874213	85360888992
1033906	89365344626	76458227063
40350	3519211026	2964255402
1538659	0	113115043062
1190337	103105378350	87603144374
1174645	101777575361	86484896957
184839	16147482976	13728837889
856643	74294883414	63126377719
184043	16086307738	13678477294
1589755	0	116840678414
969426	83925521699	71635352941
303648	26376519396	22366255632
546207	47325384739	40200873015
488316	42233748904	36041947740
586196	50795494385	43144206028
1683071	0	123857348200
129768	11422279612	9839766819
416054	36107300346	30939546530
748900	64764329877	55490910281
201012	17532887559	14881945860
1520147	0	111797762627
1039394	89839105268	76858716323
1681948	0	123772326254
1608284	0	118211266641
545217	47237482331	40134362942
1109671	96041439383	81884733422
1363725	117926042188	100636392603
839563	72785992396	61907261639
839639	72794086141	61914599347
270810	23514140201	19925888330
575453	49875495331	42352804538
50796	4450858119	3764502733
1054958	91190797095	77992784318
1670660	0	122922338641
1519134	0	111735855109
1666173	0	122588651564
230568	20028491380	16997947387
302393	26271924779	22269963460
373038	32398417041	27767127752
1303468	112717915632	96119561424
781014	67587263890	57754622167
458326	39679992526	33893317911
680005	58886925909	50476363672
692443	59934684801	51426160415
473963	41011161315	35010179694
1159949	100512761806	85427769457
110276	9766552755	8333510766
823079	71309634151	60732859241
1138318	98611598812	83899194422
368706	32019747087	27439307093
832100	72126822035	61374303435
184250	16100836756	13692097935
603481	52280958055	44476259262
230110	19975928151	16971744162
131865	11595713251	9990966499
1713160	0	126129141279
572196	49592653012	42100324315
653996	56663632259	48434603965
501293	43373653295	36971641791
574013	49756563018	42245859123
399864	34692487762	29791065144
123855	10923264649	9385778882
1239030	107301490657	91184709529
729925	63141957712	54124356545
41912	3659963620	3088377087
800025	69272085644	59112670391
1209007	104683375512	88946623259
971118	84070086245	71768060752
893470	77452893409	65833855092
242269	21024949665	17842525396
756698	65447706559	56043075995
975527	84446264954	72109278498
1493490	0	109916020050
1480101	0	108960761236
1386031	119889442813	102242824434
70949	6277420763	5325338752
1702079	0	125285459267
1136423	98450567938	83768928887
374207	32502327365	27857462673
1056523	91333277351	78101223604
1668774	0	122784122397
918792	79608884312	67757407788
871787	75593093056	64227191270
270097	23451593871	19867386459
455307	39427672968	33689300642
1097455	94947417411	81023128497
1565636	0	115085457107
89388	7925069124	6735467850
805194	69728097094	59479478930
933012	80826017438	68861297293
209797	18269281712	15525531522
809952	70145085100	59812721033
1064530	92024804945	78672306564
610888	52933571341	45044038007
552086	47837940923	40636101179
900907	78093390658	66398781365
473643	40985763868	34982817163
1409952	122020702995	103933269892
6659	593717429	475299024
1062031	91802944593	78493608650
154817	13532419421	11636692852
511762	44301940340	37733589183
1596789	0	117366145171
1522083	0	111940067437
999931	86492939824	73933108864
662800	57428709800	49136941672
799118	69185881500	59055875518
142715	12509437694	10782039142
244714	21244637504	18022989402
1709901	0	125882018388
786060	68037735188	58117659265
1440284	124743043295	106100254751
3559	327297174	252271278
1065124	92067960485	78707038464
566509	49100861573	41687687602
648890	56209174100	48040498737
1228810	106386242322	90410699461
909693	78847379375	67065489059
1426647	123523809363	105119733964
516980	44766507963	38099032472
1348146	116562752528	99513450020
1598721	0	117512179570
823724	71376918628	60783282748
413946	35927260496	30803463925
147116	12887794250	11095186236
1250649	108265026003	92062580590
238850	20731021624	17589373239
1025195	88621915457	75823949674
4796	430599541	345403937
710898	61497922576	52772506466
1442820	124979995117	106284918926
645644	55931445110	47782576420
341121	29637225547	25309965972
1017475	87980134785	75258550627
232251	20162434183	17123308242
1599375	0	117554697777
980150	84832641535	72455183299
587561	50910889317	43245036756
45522	3981468621	3363688354
939895	81414092399	69381403731
1457645	126289698583	107358560154
1171345	101497097700	86249240828
155310	13582965013	11677047615
1448960	125516758095	106740552908
103056	9127495669	7763669093
473814	41001065521	34998039917
1445078	125178670294	106453843793
1001647	86638422378	74067670317
525323	45503171207	38691923738
333491	28985888975	24693036664
1592047	0	117017180133
665574	57657507921	49357926200
138347	12146795662	10472713115
1409938	122019873223	103931338454
1284661	111116336859	94667502738
1638450	0	120464610983
720806	62352272216	53482478928
91824	8132064104	6908036190
863820	74911990850	63641543261
1384217	119727251351	102119913085
653302	56594573034	48389428049
1632700	0	120022018640
1108908	95973750286	81839541259
1345805	116357416648	99337788631
1516055	0	111499451016
311940	27097362003	23004904581
465583	40303730135	34396713417
421766	36585093680	31339050023
962736	83368221648	71122024370
311009	27017265017	22928377285
1651447	0	121461782957
1502011	0	110514095970
1154344	100023915355	85034304690
352248	30611458309	26169453803
885612	76787900233	65254017550
1506199	0	110810093853
190860	16667165015	14162278671
425062	36858740399	31577104461
1625026	0	119457783287
1253592	108504449967	92279216187
773977	66967133086	57260618175
1215055	105205901072	89380750717
66749	5902220531	4988413560
354948	30836645959	26380395494
936561	81125033299	69124838933
371473	32266519130	27652206238
1683813	0	123911934891
756539	65435598263	56031037469
690064	59730541989	51253356658
595786	51617004057	43880072309
930140	80583664548	68638246918
809542	70109733553	59783723960
1612393	0	118534220908
1074561	92910301440	79386531169
438693	38017824488	32537479649
1147159	99378763823	84520171573
525100	45478454986	38677292393
1455748	126134401744	107228353372
1389469	120189763185	102491190872
407127	35336965885	30325727933
364257	31655960024	27083681231
1609530	0	118313334639
650470	56348356647	48164358157
255757	22208151076	18815729093
1283039	110985293279	94549461277
1463951	126858676928	107810061798
559037	48442091312	41146643356
1144153	99125886192	84302326811
576489	49964831144	42428818740
1332415	115204215167	98339405209
481497	41649138177	35552340595
868803	75338727338	63998513288
994360	86025738200	73515959823
1365694	118100702124	100780384967
1260655	109089306405	92823248266
662326	57381506260	49098747645
636706	55154594174	47085374512
484897	41937233759	35809025706
1066518	92191521788	78804897230
1113023	96343540150	82125123174
292033	25362484421	21492295179
266663	23144380507	19617972478
769808	66597240527	56970342553
878815	76202716802	64754112239
543870	47117305127	40038303778
428317	37131027577	31796032841
567744	49208355186	41779709321
386546	33548582017	28803905008
467266	40443083681	34521209062
1482936	0	109159159073
1212713	105003074175	89204182823
670976	58125658019	49772559041
364935	31701620759	27142787694
1430972	123908365957	105423431552
845231	73299147431	62318583133
987493	85443196827	73008083038
1012662	87568869397	74922972041
204102	17777060675	15116017975
791860	68553260315	58525856012
1190225	103098630601	87593249639
1364569	118001848653	100699679243
1580742	0	116176650454
597853	51797407219	44034971557
994513	86041779938	73524922304
638029	55269433821	47186818865
1416695	122623523927	104404108345
1606622	0	118092037181
82509	7301602602	6212047476
275985	23978455529	20297457563
91997	8145402019	6923625646
1640939	0	120660574388
1623803	0	119365133163
998469	86376564619	73819395112
276924	24061031383	20358963867
1578623	0	116024145958
809909	70141522553	59809972180
1445589	125219140222	106485497371
1488042	0	109529047884
127817	11255248254	9683809281
1409726	121999402701	103913000797
266036	23094044071	19572333091
527638	45709690893	38862617553
88061	7808955762	6631094107
1213945	105107436426	89297527092
843671	73153757695	62206982728
1507131	0	110882887542
1351129	116837050970	99729581992
1006133	87007247589	74402077884
1010194	87355769939	74726058385
1167096	101147557146	85935773489
1186297	102767271855	87317642412
344440	29934131392	25559368863
94881	8400556581	7148384876
25374	2210998728	1841590726
934794	80986563873	68990195300
1723810	0	126925392428
267567	23228611207	19682671880
1269102	109817883118	93473659700
1197603	103711979272	88120895943
360357	31317137704	26790044823
464646	40225340204	34340255133
1307274	113038716392	96413630708
1016312	87882281362	75185090057
517244	44783882504	38118323785
137799	12092878912	10435848481
904769	78421460908	66690736805
559938	48523432364	41212704504
1518700	0	111697732015
745067	64442787467	55215770817
1017460	87977257570	75257850022
440440	38162546291	32652324344
1393865	120587937558	102798248691
1601441	0	117711779983
206741	18011060455	15304572384
370051	32140966186	27542175009
1295530	112035257892	95511168689
182648	15964611713	13576323745
1095728	94795106908	80906282469
214176	18633528615	15830778093
250523	21759629771	18436110623
1483893	0	109232095620
871454	75557059019	64198534619
1555252	0	114322482375
1591417	0	116961615759
1179145	102165727435	86798726911
1639629	0	120551749463
1115605	96576930451	82298019843
366948	31877689836	27292824309
1636519	0	120314672852
1181608	102376995331	86973976570
931759	80718477099	68763862293
1220230	105635231842	89768012414
1264785	109449399437	93140729122
212841	18523487663	15739649292
1613451	0	118608740120
454126	39328034942	33605135182
