tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
-10000.00	5163.00	-10000.00	0.00	-10000.00	0.00	312826.00	0.00
-9800.00	10229.00	-9800.00	0.00	-9800.00	0.00	413335.00	699014.00
-9600.00	10171.00	-9600.00	0.00	-9600.00	0.00	931966.00	919107.00
-9400.00	10231.00	-9400.00	0.00	-9400.00	0.00	1134930.00	1064616.00
-9200.00	9783.00	-9200.00	0.00	-9200.00	0.00	1295770.00	1152240.00
-9000.00	10135.00	-9000.00	0.00	-9000.00	0.00	1307417.00	1307477.00
-8800.00	10017.00	-8800.00	0.00	-8800.00	0.00	1422570.00	1330593.00
-8600.00	10175.00	-8600.00	0.00	-8600.00	0.00	1498020.00	1366676.00
-8400.00	10100.00	-8400.00	0.00	-8400.00	0.00	1586297.00	1401970.00
-8200.00	10376.00	-8200.00	0.00	-8200.00	0.00	1687354.00	1450679.00
-8000.00	10149.00	-8000.00	0.00	-8000.00	0.00	1688012.00	1888469.00
-7800.00	10234.00	-7800.00	0.00	-7800.00	0.00	1933201.00	1898152.00
-7600.00	10424.00	-7600.00	0.00	-7600.00	0.00	2009686.00	1913924.00
-7400.00	10491.00	-7400.00	0.00	-7400.00	0.00	2036396.00	2015248.00
-7200.00	10674.00	-7200.00	0.00	-7200.00	0.00	2040091.00	2120725.00
-7000.00	10764.00	-7000.00	0.00	-7000.00	0.00	2044325.00	2174653.00
-6800.00	10874.00	-6800.00	0.00	-6800.00	0.00	2050323.00	2316279.00
-6600.00	10830.00	-6600.00	0.00	-6600.00	0.00	2086437.00	2422985.00
-6400.00	11320.00	-6400.00	0.00	-6400.00	0.00	2091338.00	2437873.00
-6200.00	11182.00	-6200.00	0.00	-6200.00	0.00	2139776.00	2483776.00
-6000.00	11330.00	-6000.00	0.00	-6000.00	0.00	2262740.00	2742824.00
-5800.00	11394.00	-5800.00	0.00	-5800.00	0.00	2313154.00	2793391.00
-5600.00	11652.00	-5600.00	0.00	-5600.00	0.00	2320626.00	2988156.00
-5400.00	11766.00	-5400.00	0.00	-5400.00	0.00	2384693.00	3029634.00
-5200.00	12125.00	-5200.00	0.00	-5200.00	0.00	2923415.00	3108218.00
-5000.00	12262.00	-5000.00	0.00	-5000.00	0.00	3004842.00	3148671.00
-4800.00	12060.00	-4800.00	0.00	-4800.00	0.00	3246299.00	3303713.00
-4600.00	12378.00	-4600.00	0.00	-4600.00	0.00	3278996.00	3341729.00
-4400.00	12474.00	-4400.00	0.00	-4400.00	0.00	3334142.00	3342494.00
-4200.00	12636.00	-4200.00	0.00	-4200.00	0.00	3337810.00	3495841.00
-4000.00	13005.00	-4000.00	0.00	-4000.00	0.00	3348794.00	3732118.00
-3800.00	12966.00	-3800.00	0.00	-3800.00	0.00	3499742.00	3804220.00
-3600.00	13183.00	-3600.00	0.00	-3600.00	0.00	3502549.00	3918389.00
-3400.00	13416.00	-3400.00	0.00	-3400.00	0.00	3512566.00	4049117.00
-3200.00	13762.00	-3200.00	0.00	-3200.00	0.00	3575703.00	4103177.00
-3000.00	13764.00	-3000.00	0.00	-3000.00	0.00	3604431.00	4165775.00
-2800.00	14210.00	-2800.00	0.00	-2800.00	0.00	3720284.00	4217248.00
-2600.00	14351.00	-2600.00	0.00	-2600.00	0.00	3821976.00	4316920.00
-2400.00	14856.00	-2400.00	0.00	-2400.00	0.00	4020388.00	4446110.00
-2200.00	14816.00	-2200.00	0.00	-2200.00	0.00	4160308.00	4487272.00
-2000.00	15270.00	-2000.00	0.00	-2000.00	0.00	4165730.00	4502620.00
-1800.00	15824.00	-1800.00	0.00	-1800.00	0.00	4170233.00	4552518.00
-1600.00	16438.00	-1600.00	0.00	-1600.00	0.00	4183401.00	4565186.00
-1400.00	17073.00	-1400.00	0.00	-1400.00	0.00	4301665.00	4614732.00
-1200.00	17860.00	-1200.00	0.00	-1200.00	0.00	4408082.00	4617429.00
-1000.00	19009.00	-1000.00	0.00	-1000.00	0.00	4574863.00	4629633.00
-800.00	20320.00	-800.00	0.00	-800.00	0.00	4604234.00	4733993.00
-600.00	21553.00	-600.00	0.00	-600.00	0.00	4723272.00	4830494.00
-400.00	22929.00	-400.00	0.00	-400.00	0.00	4792046.00	4837235.00
-200.00	23593.00	-200.00	0.00	-200.00	0.00	4841925.00	4839270.00
0.00	24344.00	0.00	0.00	0.00	1.00	4957095.00	4841923.00
200.00	24176.00	200.00	0.00	200.00	0.00	4962259.00	4845409.00
400.00	23479.00	400.00	0.00	400.00	0.00	4970537.00	4847736.00
600.00	22391.00	600.00	0.00	600.00	0.00	4992031.00	4856918.00
800.00	21261.00	800.00	0.00	800.00	0.00	5037835.00	4879532.00
1000.00	19967.00	1000.00	0.00	1000.00	0.00	5208698.00	4942662.00
1200.00	19102.00	1200.00	0.00	1200.00	0.00	5339626.00	5107205.00
